id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2833,18.9,12.95,20.5974359,13.402,-33.82,121.88,26
2834,23.00877193,11.25789474,24.45,12.18333333,-32.2,121.78,278
2835,22.49893617,11.92801418,23.2,12.9,-32.45,123.87,148
2837,20.61296296,13.30050505,21.57948718,13.436,-31.68,128.9,102
2838,22.78049645,11.59259259,24.26666667,12.45,-30.62,130.4,121
2839,20.81728395,11.79506173,21.89230769,12.372,-32.12,133.7,17
2840,21.98682171,12.77209302,22.05833333,13.83333333,-32.8,134.22,14
2841,25.11788618,11.26349206,27.01416667,12.43518519,-30.72,134.57,120
2842,20.05416667,12.23333333,19.61666667,12.65,-33.65,134.88,5
2843,22.425,11.06041667,23.00833333,12.01666667,-33.12,135.55,61
2844,25.51578947,11.78596491,26.86217949,12.444,-31.13,136.82,167
2845,20.89892473,11.44555556,21.20833333,12.23333333,-33.7,136.48,194
2846,20.45151515,11.30909091,20.59166667,12.4,-34.98,137.4,54
2847,22.03444444,11.90888889,25.3,NA,-33.02,137.52,15
2848,21.13611111,11.22777778,21.575,11.89166667,-34.37,137.67,186
2849,24.65833333,12.62083333,25.14166667,13.06666667,-32.53,137.77,8
2850,22.00740741,11.20925926,22.66666667,11.8,-33.97,137.72,44
2851,22.07777778,10.13333333,22.35833333,11.06666667,-33.15,136.42,263
2852,23.56493056,12.11777778,24.275,12.93333333,-33.18,138.02,3
2853,22.01592593,10.67481481,22.55,11.76666667,-33.78,138.22,103
2854,21.55388889,10.67194444,23,11.76666667,-34.53,138.68,114
2855,21.32734082,10.73558052,22.06410256,11.74933333,-34.93,138.52,4
2856,24.40416667,10.45,25.05833333,10.63333333,-31.87,138.4,316
2857,21.45416667,11.95833333,22.15833333,12.25,-34.92,138.62,50
2858,20.87651515,7.836742424,21.25,8.633333333,-33.02,138.7,515
2859,19.65,8.7875,20.58333333,9.75,-34.17,139.08,416
2861,22.35555556,9,21.64166667,10.825,-34.78,140.27,77
2862,23.69358974,11.1,23.625,11.775,-34.17,140.75,21
2864,24.82424242,10.70701754,25.42,11.74888889,-31.97,141.47,315
2865,23.10555556,10.29565217,24.28076923,10.73666667,-34.22,142.08,52
2866,25.55818182,11.09622642,26.04166667,12.1,-32.4,142.42,61
2868,24.05740741,10.15849057,23.7,10.425,-34.63,143.55,61
2870,23.87068966,9.949806202,23.675,10.5,-34.52,144.85,94
2871,24.87702703,10.03935185,24.9,10.8,-33.48,145.53,123
2872,28.01011236,12.24291188,27.625,13.03333333,-30.08,145.93,106
2873,24.92861635,9.688888889,27.85,NA,-33.08,147.15,199
2874,26.25471014,10.84087302,28.95,12.4,-31.55,147.18,177
2875,23.56111111,8.78,24.2047619,9.611904762,-33.92,147.23,245
2876,26.52222222,10.96666667,26.89230769,11.63333333,-31.48,145.82,265
2877,22.51141975,8.03496732,25.35,8.766666667,-34.32,148.3,440
2878,23.6003268,8.976666667,24.425,9.5,-33.9,148.17,384
2879,24.42490421,9.295098039,24.08333333,9.483333333,-33.38,148,240
2880,23.22123288,8.443055556,23.075,8.633333333,-34.63,148.02,318
2881,24.95,10.84,26.3,11.06666667,-32.72,148.18,267
2882,26.14771242,10.86423611,27.85,11.4,-30.95,148.38,180
